Month (month),State (state_name),State Code (state_code),District (district_name),District Code (district_code),Total Rice Allocated (total_rice_allocated),Total Wheat Allocated (total_wheat_allocated),Total Rice Distributed (total_rice_distributed),Total Wheat Distritibuted (total_wheat_distributed)
01-11-2018,Gujarat,24,Narmada,452,764.77,1827.9,738.03,1763.85
01-11-2020,Odisha,21,Kalahandi,358,7395.15,317.53,7198.64,304.1
01-12-2017,Odisha,21,Puri,369,5211.56,1356.84,5202.57,1348.88
01-07-2020,Andhra Pradesh,28,Prakasam,517,10601.88,0,9946.87,0
01-09-2019,Gujarat,24,Surendranagar,460,1528.04,3596.4,1294.31,3046.03
01-07-2018,Gujarat,24,Arvalli,672,1247.69,2942.61,1140.72,2688.87
01-06-2019,Manipur,14,Jiribum,713,217.06,0,217.06,0
01-12-2020,Uttar Pradesh,9,Chitrakoot,136,1894.18,2783.63,1779.03,2613.11
01-02-2018,Uttar Pradesh,9,Kheri,159,7349.72,10749.86,6745.09,9843.45
01-10-2018,Odisha,21,Jharsuguda,357,1678.65,403.58,1641.55,391.98
01-09-2020,Chhattisgarh,22,Jashpur,380,4158.64,0,4105.42,0
01-04-2020,Uttar Pradesh,9,Hapur,661,2052.23,3056.33,1946.96,2898.58
01-03-2018,Gujarat,24,Kachchh,449,2302.93,5419.41,1499.93,3529.29
01-08-2020,Tamil Nadu,33,Ramanathapuram,583,5250.73,140.3,4358.52,123.63
01-07-2018,Uttar Pradesh,9,Shravasti,181,2008.18,2954.34,1951.12,2867.91
01-02-2020,Meghalaya,17,South West Garo Hills,663,779.55,0,632.8,0
01-07-2020,Haryana,6,Fatehabad,61,0,2425.62,0,2328.37
01-04-2019,Tamil Nadu,33,Madurai,578,8382.15,218.67,6989.86,203.28
01-07-2019,Odisha,21,Sonepur,372,2635.62,238.95,2588.69,233.01
01-07-2020,Uttar Pradesh,9,Mirzapur,170,4408.53,6438.63,4317.19,6302.61
01-04-2018,Maharashtra,27,Hingoli,477,4715.08,6906.23,2300.28,3362.13
01-08-2019,Meghalaya,17,South West Garo Hills,663,779.55,0,779.55,0
01-02-2020,Odisha,21,Khordha,362,5899.23,1721.83,11280.15,3243.43
01-02-2020,Tamil Nadu,33,Theni,588,3858.73,115.67,3531.01,99.2
01-11-2018,Manipur,14,Senapati,257,1030.53,0,1030.53,0
01-06-2020,Rajasthan,8,Sawai Madhopur,113,0,4334.82,0,4339.53
01-04-2019,Telangana,36,Mahabubabad,688,2795.7,0,1993.76,0
01-09-2020,Arunachal Pradesh,12,Pakke Kessang,723,342.22,0,476.75,0
01-09-2020,Arunachal Pradesh,12,Kamle,718,94.45,0,0,0
